Date,Close,Open,High,Low,Vol.,Change %
"Mar 02, 2022",187.10,190.90,191.30,186.80,335.19K,-0.48%
"Mar 01, 2022",188.00,187.20,191.00,186.90,302.64K,0.80%
"Feb 28, 2022",186.50,185.20,190.00,185.20,581.18K,0.70%
"Feb 27, 2022",185.20,189.10,189.10,185.00,511.02K,-1.59%
"Feb 24, 2022",188.20,192.50,193.10,187.70,923.37K,-1.41%
"Feb 23, 2022",190.90,190.00,195.60,189.10,496.11K,0.58%
"Feb 22, 2022",189.80,191.00,191.80,189.60,242.53K,-0.58%
"Feb 20, 2022",190.90,192.70,192.70,190.50,188.76K,-0.93%
"Feb 17, 2022",192.70,196.70,196.70,191.50,442.80K,-1.88%
"Feb 16, 2022",196.40,195.00,198.50,193.30,823.89K,1.60%
"Feb 15, 2022",193.30,194.50,194.70,192.90,1.13M,-0.41%
"Feb 14, 2022",194.10,195.20,197.00,193.50,312.93K,-0.46%
"Feb 13, 2022",195.00,197.00,197.90,193.70,403.44K,-0.66%
"Feb 10, 2022",196.30,198.80,199.60,196.00,408.06K,-1.21%
"Feb 09, 2022",198.70,197.30,198.90,197.30,234.31K,0.71%
"Feb 08, 2022",197.30,197.40,199.40,196.10,341.15K,-0.20%
"Feb 07, 2022",197.70,199.00,201.50,197.50,830.10K,-0.10%
"Feb 06, 2022",197.90,196.40,199.80,196.30,374.30K,0.82%
"Feb 03, 2022",196.30,196.60,197.90,195.60,412.06K,0.10%
"Feb 02, 2022",196.10,196.80,198.90,196.00,380.52K,0.05%
"Feb 01, 2022",196.00,197.00,197.60,195.20,330.04K,0.36%
"Jan 31, 2022",195.30,198.90,199.00,194.70,646.47K,-0.56%
"Jan 30, 2022",196.40,201.40,203.00,196.00,412.77K,-1.01%
"Jan 27, 2022",198.40,196.30,201.50,196.30,257.00K,1.12%
"Jan 26, 2022",196.20,199.00,199.00,195.90,241.54K,0.00%
"Jan 25, 2022",196.20,199.30,199.80,195.30,284.07K,-0.46%
"Jan 24, 2022",197.10,204.20,204.20,195.50,374.14K,-2.91%
"Jan 23, 2022",203.00,205.70,211.80,200.10,1.23M,1.10%
"Jan 20, 2022",200.80,197.00,202.40,197.00,536.65K,2.40%
"Jan 19, 2022",196.10,194.90,199.40,192.60,362.83K,1.76%
"Jan 18, 2022",192.70,196.90,196.90,192.30,544.80K,-1.08%
"Jan 17, 2022",194.80,196.00,196.00,193.30,359.53K,0.21%
"Jan 16, 2022",194.40,198.20,199.50,193.00,631.37K,-1.87%
"Jan 13, 2022",198.10,197.20,199.00,197.00,214.69K,0.51%
"Jan 12, 2022",197.10,202.80,202.80,196.70,496.61K,-1.74%
"Jan 11, 2022",200.60,197.00,205.00,197.00,839.46K,1.36%
"Jan 10, 2022",197.90,195.20,199.00,192.00,556.27K,0.82%
"Jan 06, 2022",196.30,197.20,201.00,195.50,578.73K,-0.30%
"Jan 05, 2022",196.90,201.00,201.70,196.00,579.85K,-1.80%
"Jan 04, 2022",200.50,199.00,201.00,197.00,878.45K,0.35%
"Jan 03, 2022",199.80,201.00,203.80,198.50,852.38K,1.32%
"Jan 02, 2022",197.20,194.50,199.50,194.00,413.61K,2.34%
